favorite_color,skin_tone,interest_style,primary_color,secondary_color
Red,Fair,Urban,White,Black
Blue,Medium,Casual,Blue,White
Green,Dark,Formal,Green,Black
Yellow,Olive,Trendy,Yellow,Blue
Orange,Light,Hipster,Orange,Black
Purple,Dark,Romantic,Purple,Black
Pink,Fair,Glam,Pink,White
Brown,Tan,Bohemian,Brown,White
Gray,Medium,Classic,Gray,Black
Black,Dark,Edgy,Black,White
White,Fair,Minimalist,White,Black
Red,Fair,Casual,Red,Black
Blue,Dark,Formal,Blue,White
Green,Medium,Trendy,Green,Black
Yellow,Olive,Hipster,Yellow,White
Orange,Light,Romantic,Orange,Black
Purple,Dark,Glam,Purple,White
Pink,Fair,Classic,Pink,Black
Brown,Tan,Edgy,Brown,White
Gray,Medium,Minimalist,Gray,White
Black,Dark,Urban,Black,White
Red,Dark,Formal,Red,Black
Blue,Medium,Urban,Blue,Gray
Green,Light,Hipster,Green,Yellow
Yellow,Fair,Romantic,Yellow,Pink
Orange,Tan,Glam,Orange,Purple
Purple,Dark,Classic,Purple,Black
Pink,Medium,Edgy,Pink,Red
Brown,Olive,Minimalist,Brown,Green
Gray,Fair,Trendy,Gray,Orange
Black,Light,Casual,Black,White
Red,Olive,Romantic,Red,Yellow
Blue,Tan,Hipster,Blue,Pink
Green,Fair,Glam,Green,Purple
Yellow,Dark,Classic,Yellow,Black
Orange,Medium,Edgy,Orange,Red
Purple,Light,Minimalist,Purple,Gray
Pink,Olive,Trendy,Pink,Orange
Brown,Fair,Casual,Brown,Yellow
Gray,Tan,Romantic,Gray,Pink
Black,Dark,Hipster,Black,Green
Burgundy,Light,Minimalist,Burgundy,Black
Navy,Medium,Classic,Navy,White
Emerald,Fair,Casual,Emerald,Black
Gold,Olive,Trendy,Gold,White
Rust,Tan,Hipster,Rust,Black
Magenta,Medium,Romantic,Magenta,Black
Peach,Dark,Glam,Peach,White
Khaki,Olive,Edgy,Khaki,White
Silver,Fair,Minimalist,Silver,Black
Turquoise,Olive,Casual,Turquoise,Black
Coral,Fair,Trendy,Coral,White
Indigo,Medium,Hipster,Indigo,Black
Sienna,Light,Romantic,Sienna,White
Salmon,Olive,Glam,Salmon,Black
Olive,Tan,Edgy,Olive,White
Teal,Medium,Minimalist,Teal,Black
Apricot,Fair,Casual,Apricot,White
Plum,Tan,Trendy,Plum,Black
Mauve,Dark,Romantic,Mauve,White
Crimson,Olive,Glam,Crimson,Black
Cerulean,Medium,Edgy,Cerulean,White
Chartreuse,Dark,Minimalist,Chartreuse,Black
Lavender,Light,Casual,Lavender,White
Lime,Olive,Trendy,Lime,Black
Amber,Fair,Romantic,Amber,White
Violet,Medium,Glam,Violet,Black
Sage,Tan,Edgy,Sage,White
Copper,Olive,Minimalist,Copper,Black
Beige,Dark,Casual,Beige,White
Ruby,Fair,Trendy,Ruby,Black